Date,LogReturn,Open,High,Low,Close,Volume,MarketCap,FearAndGreed,VDD,CBBI,GoldClose,DaysSinceHalving,S&P500,M2SL,InflationUSA,DXY,VIX of VIX,HashRate,MA5,MA20
"2024-11-16,""-0,00557"",""91064,36623"",""91763,94788"",""90094,22537"",""90558,47524"",44333192814,1791535825198,90,""0,79577"",""77,102"",""2562,33"",210,""5870,62"",""21447,6"",""2,7"",""106,69"",""98,93"",""793 304 000 000 000 000 000,00"",""89482,97799"",""76882,48856"""
"2024-11-15,""0,04240"",""87284,1831"",""91868,74444"",""87124,90086"",""91066,00696"",78243109518,1801436194835,86,""0,80211"",""79,36"",""2562,33"",209,""5870,62"",""21447,6"",""2,7"",""106,69"",""98,93"",""757 934 000 000 000 000 000,00"",""89111,58056"",""75664,76708"""
"2024-11-14,""-0,03701"",""90574,88206"",""91765,22137"",""86682,81582"",""87250,43127"",87616705248,1727562262252,80,""0,80867"",""78,7"",""2565,05"",208,""5949,17"",""21447,6"",""2,7"",""106,67"",""90,43"",""641 717 000 000 000 000 000,00"",""86993,21629"",""74599,72847"""
"2024-11-13,""0,02964"",""87929,96677"",""93434,35534"",""86256,93197"",""90584,16667"",123559027869,1791737553114,88,""0,81435"",""78,11"",""2572,935"",207,""5985,38"",""21447,6"",""2,7"",""106,48"",""91,76"",""697 299 000 000 000 000 000,00"",""84898,90359"",""73339,63605"""
"2024-11-12,""-0,00878"",""88705,56449"",""89956,88236"",""85155,11151"",""87955,80982"",133673285375,1739381625717,84,""0,82159"",""78,16"",""2598,275"",206,""5983,99"",""21447,6"",""2,7"",""106,02"",""89,45"",""737 722 000 000 000 000 000,00"",""82091,16558"",""72297,80676"""
"2024-11-11,""0,09742"",""80471,41319"",""89604,49784"",""80283,24762"",""88701,48808"",117966845037,1754682553470,80,""0,82935"",""77,103"",""2619,54"",205,""6001,35"",""21447,6"",""2,7"",""105,54"",""90,73"",""687 193 000 000 000 000 000,00"",""79680,97531"",""71125,73887"""
"2024-11-10,""0,04702"",""76775,5438"",""81474,42389"",""76565,42993"",""80474,1856"",82570594495,1591750610706,76,""0,83746"",""79,37"",""2685,17"",204,""5995,54"",""21447,6"",""2,7"",105,""87,76"",""747 828 000 000 000 000 000,00"",""77068,49328"",""70435,5924"""
"2024-11-09,""0,00286"",""76556,19113"",""76932,76399"",""75773,78852"",""76778,86775"",29009480361,1518690764417,78,""0,84304"",""78,7"",""2685,17"",203,""5995,54"",""21447,6"",""2,7"",105,""87,76"",""702 352 000 000 000 000 000,00"",""74845,56939"",""69940,27582"""
"2024-11-08,""0,00857"",""75902,83257"",""77252,74766"",""75648,7412"",""76545,47664"",55176858003,1514255354916,75,""0,84824"",""78,11"",""2685,17"",202,""5995,54"",""21447,6"",""2,7"",105,""87,76"",""717 511 000 000 000 000 000,00"",""73052,09767"",""69543,23529"""
"2024-11-07,""0,00351"",""75637,08497"",""76943,11802"",""74480,41931"",""75904,85846"",63467654989,1501297989025,75,""0,85328"",""78,16"",""2706,51"",201,""5973,1"",""21447,6"",""2,7"",""104,51"",""88,6"",""788 251 000 000 000 000 000,00"",""71491,22544"",""69146,28132"""
"2024-11-06,""0,08666"",""69358,50199"",""76460,15337"",""69322,0319"",""75639,07795"",""1,19E+11"",1496003893299,77,""0,85746"",""77,104"",""2659,055"",200,""5929,04"",""21447,6"",""2,7"",""105,09"",""97,24"",""773 092 000 000 000 000 000,00"",""70168,10908"",""68766,26612"""
"2024-11-05,""0,02256"",""67811,17433"",""70522,78682"",""67458,86968"",""69359,56617"",46046889204,1371788058011,70,""0,86153"",""79,38"",""2743,995"",199,""5782,76"",""21447,6"",""2,7"",""103,42"",""114,32"",""702 352 000 000 000 000 000,00"",""68936,78746"",""68663,12229"""
"2024-11-04,""-0,01364"",""68742,13467"",""69433,17642"",""66803,65"",""67811,50914"",41184819348,1341156657449,70,""0,86294"",""78,7"",""2736,685"",198,""5712,69"",""21447,6"",""2,7"",""103,89"",""121,8"",""718 143 000 000 000 000 000,00"",""69107,91136"",""68652,65975"""
"2024-11-03,""-0,00803"",""69296,38206"",""69361,658"",""67482,52544"",""68741,11549"",34868307655,1359535744745,70,""0,86406"",""78,11"",""2736,515"",197,""5728,8"",""21447,6"",""2,7"",""104,28"",""119,12"",""627 781 000 000 000 000 000,00"",""70013,51796"",""68563,18562"""
"2024-11-02,""-0,00273"",""69486,0239"",""69867,35185"",""69033,72226"",""69289,27667"",18184612091,1370468034066,74,""0,86557"",""78,16"",""2736,515"",196,""5728,8"",""21447,6"",""2,7"",""104,28"",""119,12"",""670 584 000 000 000 000 000,00"",""70809,39358"",""68392,49359"""
"2024-11-01,""-0,01046"",""70216,89697"",""71559,01657"",""68779,70034"",""69482,46985"",49989795365,1374187711281,72,""0,86787"",""77,105"",""2736,515"",195,""5728,8"",""21447,6"",""2,7"",""104,28"",""119,12"",""727 655 000 000 000 000 000,00"",""70933,08918"",""68043,4886"""
"2024-10-31,""-0,02972"",""72335,04408"",""72662,3098"",""69590,50287"",""70215,18563"",40627912076,1388607599014,75,""0,87032"",""79,39"",""2746,205"",194,""5705,45"",""21311,9"",""2,6"",""103,98"",""121,89"",""751 435 000 000 000 000 000,00"",""70622,45497"",""67673,90109"""
"2024-10-30,""-0,00524"",""72715,36649"",""72905,29852"",""71411,73503"",""72339,54218"",40646637831,1430461157911,77,""0,87302"",""78,7"",""2787,59"",193,""5813,67"",""21311,9"",""2,6"",""103,99"",""112,77"",""803 750 000 000 000 000 000,00"",""69982,35739"",""67153,14038"""
"2024-10-29,""0,03934"",""69910,04537"",""73577,20966"",""69729,91783"",""72720,49357"",58541874402,1437942445620,77,""0,87546"",""78,11"",""2774,68"",192,""5832,92"",""21311,9"",""2,6"",""104,32"",""108,7"",""746 679 000 000 000 000 000,00"",""68842,9311"",""66498,08798"""
"2024-10-28,""0,02884"",""67922,67427"",""70212,26904"",""67535,13101"",""69907,75467"",38799856657,1382358128595,72,""0,87704"",""78,16"",""2742,225"",191,""5823,52"",""21311,9"",""2,6"",""104,32"",""112,23"",""798 994 000 000 000 000 000,00"",""67931,04305"",""66007,2641"""
"2024-10-27,""0,01333"",""67023,47942"",""68221,31474"",""66847,2231"",""67929,2988"",16721307878,1343230761708,72,""0,87736"",""77,106"",""2742,535"",190,""5808,12"",""21311,9"",""2,6"",""104,26"",""117,5"",""765 702 000 000 000 000 000,00"",""67235,93177"",""65702,14142"""
